OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,17.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,17.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,17.0,2.96349,95.0,scikit-optimize
Linux-Bionic,3.7,amd64,17.0,2.96349,97.0,scikit-optimize
Linux-Focal,3.7,amd64,17.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,17.0,2.89352,160.0,scikit-optimize
MacOS,3.7,amd64,17.0,2.925345,155.0,scikit-optimize
Windows,3.7,amd64,17.0,2.943491,180.0,scikit-optimize
Linux-Xenial,3.8,amd64,18.0,2.953319,100.0,scikit-optimize
Linux-Xenial,3.6,amd64,18.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,18.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,18.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,18.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,18.0,2.89352,165.0,scikit-optimize
MacOS,3.7,amd64,18.0,2.925345,154.0,scikit-optimize
Windows,3.7,amd64,18.0,2.943491,150.0,scikit-optimize
Linux-Xenial,3.8,amd64,19.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,19.0,2.774693,105.0,scikit-optimize
Linux-Xenial,3.7,amd64,19.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,19.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,19.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,19.0,2.89352,147.0,scikit-optimize
MacOS,3.7,amd64,19.0,2.925345,170.0,scikit-optimize
Windows,3.7,amd64,19.0,2.943491,160.0,scikit-optimize
Linux-Xenial,3.8,amd64,20.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,20.0,2.774693,102.0,scikit-optimize
Linux-Xenial,3.7,amd64,20.0,2.96349,95.0,scikit-optimize
Linux-Bionic,3.7,amd64,20.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,20.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,20.0,2.89352,172.0,scikit-optimize
MacOS,3.7,amd64,20.0,2.925345,156.0,scikit-optimize
Windows,3.7,amd64,20.0,2.943491,151.0,scikit-optimize
Linux-Xenial,3.8,amd64,21.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,21.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,21.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,21.0,2.96349,94.0,scikit-optimize
Linux-Focal,3.7,amd64,21.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,21.0,2.89352,95.0,scikit-optimize
MacOS,3.7,amd64,21.0,2.925345,162.0,scikit-optimize
Windows,3.7,amd64,21.0,2.943491,159.0,scikit-optimize
Linux-Xenial,3.8,amd64,22.0,2.953319,99.0,scikit-optimize
Linux-Xenial,3.6,amd64,22.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,22.0,2.96349,97.0,scikit-optimize
Linux-Bionic,3.7,amd64,22.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,22.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,22.0,2.89352,102.0,scikit-optimize
MacOS,3.7,amd64,22.0,2.925345,173.0,scikit-optimize
Windows,3.7,amd64,22.0,2.943491,158.0,scikit-optimize
Linux-Xenial,3.8,amd64,23.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,23.0,2.774693,107.0,scikit-optimize
Linux-Xenial,3.7,amd64,23.0,2.96349,95.0,scikit-optimize
Linux-Bionic,3.7,amd64,23.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,23.0,2.96349,96.0,scikit-optimize
Linux-Xenial,3.7,arm64,23.0,2.89352,105.0,scikit-optimize
MacOS,3.7,amd64,23.0,2.925345,161.0,scikit-optimize
Windows,3.7,amd64,23.0,2.943491,159.0,scikit-optimize
Linux-Xenial,3.8,amd64,24.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,24.0,2.774693,101.0,scikit-optimize
Linux-Xenial,3.7,amd64,24.0,2.96349,97.0,scikit-optimize
Linux-Bionic,3.7,amd64,24.0,2.96349,94.0,scikit-optimize
Linux-Focal,3.7,amd64,24.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,24.0,2.89352,104.0,scikit-optimize
MacOS,3.7,amd64,24.0,2.925345,164.0,scikit-optimize
Windows,3.7,amd64,24.0,2.943491,155.0,scikit-optimize
Linux-Xenial,3.8,amd64,25.0,2.953319,99.0,scikit-optimize
Linux-Xenial,3.6,amd64,25.0,2.774693,102.0,scikit-optimize
Linux-Xenial,3.7,amd64,25.0,2.96349,97.0,scikit-optimize
Linux-Bionic,3.7,amd64,25.0,2.96349,101.0,scikit-optimize
Linux-Focal,3.7,amd64,25.0,2.96349,93.0,scikit-optimize
Linux-Xenial,3.7,arm64,25.0,2.89352,117.0,scikit-optimize
MacOS,3.7,amd64,25.0,2.925345,172.0,scikit-optimize
Windows,3.7,amd64,25.0,2.943491,149.0,scikit-optimize
Linux-Xenial,3.8,amd64,26.0,2.953319,101.0,scikit-optimize
Linux-Xenial,3.6,amd64,26.0,2.774693,107.0,scikit-optimize
Linux-Xenial,3.7,amd64,26.0,2.96349,95.0,scikit-optimize
Linux-Bionic,3.7,amd64,26.0,2.96349,97.0,scikit-optimize
Linux-Focal,3.7,amd64,26.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,26.0,2.89352,127.0,scikit-optimize
MacOS,3.7,amd64,26.0,2.925345,170.0,scikit-optimize
Windows,3.7,amd64,26.0,2.943491,162.0,scikit-optimize
Linux-Xenial,3.8,amd64,27.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,27.0,2.774693,102.0,scikit-optimize
Linux-Xenial,3.7,amd64,27.0,2.96349,95.0,scikit-optimize
Linux-Bionic,3.7,amd64,27.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,27.0,2.96349,98.0,scikit-optimize
Linux-Xenial,3.7,arm64,27.0,2.89352,134.0,scikit-optimize
MacOS,3.7,amd64,27.0,2.925345,161.0,scikit-optimize
Windows,3.7,amd64,27.0,2.943491,154.0,scikit-optimize
Linux-Xenial,3.8,amd64,28.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,28.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,28.0,2.96349,94.0,scikit-optimize
Linux-Bionic,3.7,amd64,28.0,2.96349,93.0,scikit-optimize
Linux-Focal,3.7,amd64,28.0,2.96349,97.0,scikit-optimize
Linux-Xenial,3.7,arm64,28.0,2.89352,161.0,scikit-optimize
MacOS,3.7,amd64,28.0,2.925345,161.0,scikit-optimize
Windows,3.7,amd64,28.0,2.943491,157.0,scikit-optimize
Linux-Xenial,3.8,amd64,29.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,29.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,29.0,2.96349,95.0,scikit-optimize
Linux-Bionic,3.7,amd64,29.0,2.96349,94.0,scikit-optimize
Linux-Focal,3.7,amd64,29.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,29.0,2.89352,152.0,scikit-optimize
MacOS,3.7,amd64,29.0,2.925345,172.0,scikit-optimize
Windows,3.7,amd64,29.0,2.943491,158.0,scikit-optimize
Linux-Xenial,3.8,amd64,30.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,30.0,2.774693,107.0,scikit-optimize
Linux-Xenial,3.7,amd64,30.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,30.0,2.96349,94.0,scikit-optimize
Linux-Focal,3.7,amd64,30.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,30.0,2.89352,151.0,scikit-optimize
MacOS,3.7,amd64,30.0,2.925345,167.0,scikit-optimize
Windows,3.7,amd64,30.0,2.943491,158.0,scikit-optimize
Linux-Xenial,3.8,amd64,31.0,2.953319,99.0,scikit-optimize
Linux-Xenial,3.6,amd64,31.0,2.774693,102.0,scikit-optimize
Linux-Xenial,3.7,amd64,31.0,2.96349,97.0,scikit-optimize
Linux-Bionic,3.7,amd64,31.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,31.0,2.96349,96.0,scikit-optimize
Linux-Xenial,3.7,arm64,31.0,2.89352,168.0,scikit-optimize
MacOS,3.7,amd64,31.0,2.925345,163.0,scikit-optimize
Windows,3.7,amd64,31.0,2.943491,157.0,scikit-optimize
Linux-Xenial,3.8,amd64,32.0,2.953319,99.0,scikit-optimize
